time,amplitude
9.966250000000e-05,5.004595848036e-11
9.966300000000e-05,4.997174442138e-11
9.966350000000e-05,3.851458423118e-11
9.966400000000e-05,1.828416372940e-11
9.966450000000e-05,-6.111365020751e-12
9.966500000000e-05,-2.911504382375e-11
9.966550000000e-05,-4.548690524027e-11
9.966600000000e-05,-5.149757553217e-11
9.966650000000e-05,-4.577779495326e-11
9.966700000000e-05,-2.963034173607e-11
9.966750000000e-05,-6.733301983488e-12
9.966800000000e-05,1.769772915879e-11
9.966850000000e-05,3.809768023557e-11
9.966900000000e-05,4.981965445116e-11
9.966950000000e-05,5.019344445429e-11
9.967000000000e-05,3.913379227430e-11
9.967050000000e-05,1.915983582482e-11
9.967100000000e-05,-5.178693573513e-12
9.967150000000e-05,-2.833782346188e-11
9.967200000000e-05,-4.504217868854e-11
9.967250000000e-05,-5.148664930932e-11
9.967300000000e-05,-4.620316224590e-11
9.967350000000e-05,-3.039511349567e-11
9.967400000000e-05,-7.663276060251e-12
9.967450000000e-05,1.681438769486e-11
9.967500000000e-05,3.746218609632e-11
9.967550000000e-05,4.957676780471e-11
9.967600000000e-05,5.039849578811e-11
9.967650000000e-05,3.974007790307e-11
9.967700000000e-05,2.002925539351e-11
9.967750000000e-05,-4.244180450743e-12
9.967800000000e-05,-2.755108665232e-11
9.967850000000e-05,-4.458242856918e-11
9.967900000000e-05,-5.145861452636e-11
9.967950000000e-05,-4.661323308297e-11
9.968000000000e-05,-3.114988526525e-11
9.968050000000e-05,-8.590824539087e-12
9.968100000000e-05,1.592534484005e-11
9.968150000000e-05,3.681416220245e-11
9.968200000000e-05,4.931737709452e-11
9.968250000000e-05,5.058682813047e-11
9.968300000000e-05,4.033323798944e-11
9.968350000000e-05,2.089213274053e-11
9.968400000000e-05,-3.308135926285e-12
9.968450000000e-05,-2.675509357148e-11
9.968500000000e-05,-4.410780569567e-11
9.968550000000e-05,-5.141347827934e-11
9.968600000000e-05,-4.700786922529e-11
9.968650000000e-05,-3.189440495806e-11
9.968700000000e-05,-9.515638906815e-12
9.968750000000e-05,1.503089525909e-11
9.968800000000e-05,3.615382224912e-11
9.968850000000e-05,4.904156636826e-11
9.968900000000e-05,5.075837673526e-11
